Table S1: Unique studies reported in EWAS Atlas 
Stage,Platform,Sample size,Male(%),Age(min),Age(max),Age(mean),Age(sd),Tissue,Cohort name,Full name,Description,Ancestry,Tissue
Initial,450K,9,0,null,null,42.3,18.9,skin,,,PP,Not reported,skin
Initial,450K,9,0,null,null,null,null,leukocyte,,,post-treatment,Not reported,leukocyte
Initial,450K,9,0.33,null,null,null,null,whole blood,,,m,Not reported,whole blood
Initial,450K,9,0.33,null,null,null,null,whole blood,,,married-in controls,Not reported,whole blood
Initial,450K,9,0.44,null,null,13.1,6.3,buffy coat,,,Non-exposure group (Generation 3),East Asian,buffy coat
Initial,450K,9,0.44,null,null,40,7,buffy coat,,,Non-exposure group (Generation 2),East Asian,buffy coat
Initial,450K,9,0.56,47.7,83.9,64,10.98,corneal endothelial,,,FECD,Not reported,corneal endothelial
Initial,450K,9,0.67,null,null,57.2,6.5,right ventricle,,,control,Not reported,right ventricle
Initial,450K,9,1,null,null,46.7,6.7,whole blood,Airline,,sufcient sleep,Not reported,whole blood
Initial,450K,9,1,null,null,47.22,18.43,CD19+ B cell,,,Male control,Not reported,CD19+ B cell
Initial,450K,9,null,50,83,61.4,10.2,CD3+ T cell,,,Controls,Not reported,CD3+ T cell
Initial,450K,9,null,null,null,33.4,6.6,peripheral blood mononuclear cell,,,Non-responders,Not reported,peripheral blood mononuclear cell
Initial,450K,9,null,null,null,null,null,cartilage,,,hip OA patients,Not reported,cartilage
Initial,450K,9,null,null,null,null,null,whole blood,,,non-Kabuki syndrome controls,Not reported,whole blood
Initial,450K,90,0,null,null,null,null,breast,NBS,Normal Breast Study,,Not reported,breast
Initial,450K,90,0.45,null,null,13.38,2.38,saliva,,,Adolescents - CDV-,Not reported,saliva
Initial,450K,90,null,0,0,0,0,cord blood,IOW,Isle of Wight birth cohort,,European,cord blood
Initial,450K,901,0.49,0,0,0,0,cord blood,ALSPAC,Avon Longitudinal Study of Parents and Children,,Not reported,cord blood
Initial,450K,903,0.56,18,80,46,null,whole blood,,,,Not reported,whole blood
Initial,450K,903,0.56,18,80,46,null,whole blood,,,Never- smokers,Not reported,whole blood
Initial,450K,903,null,null,null,69.5,0.8,whole blood,LBC1936,Lothian Birth Cohort 1936,,European,whole blood
Initial,450K,905,0.51,null,null,69.6,0.8,whole blood,LBC1936,,,European,whole blood
Initial,450K,91,0.35,14,83,47.2,null,tumor tissue,,,,Not reported,tumor tissue
Initial,450K,91,0.59,41,69,56.2,8.7,whole blood,MCCS,Melbourne Collaborative Cohort Study,,European,whole blood
Initial,450K,912,0.52,0,0,0,0,cord blood,Generation R,,,European,cord blood
Initial,450K,914,0.49,0,0,0,0,cord blood,ARIES,,,Not reported,cord blood
Initial,450K,916,0.51,null,null,69.6,0.8,whole blood,LBC1936,,,European,whole blood
Initial,450K,918,0.51,68,71,69.5,0.8,whole blood,LBC1936,Lothian Birth Cohort 1936,,European,whole blood
Initial,450K,92,0.5,14,20.9,17.7,1.7,leukocyte,EpiGO,Epigenetic Basis of Obesity-Induced Cardiovascular Disease and Type 2 Diabetes,lean,African American or Afro-Caribbean,leukocyte
Initial,450K,92,0.51,null,null,11.7,1.55,whole blood,DNBC,Danish National Birth Registry,GDM,Not reported,whole blood
Initial,450K,92,0.55,0,0,0,0,whole blood,NCL,Norway Facial Cleft Study,cleft lip,European,whole blood
Initial,450K,92,0.77,22,87,65,null,whole blood,,,,Not reported,whole blood
Initial,450K,920,0.51,null,null,69.6,0.8,whole blood,LBC1936,Lothian Birth Cohort 1936,,European,whole blood
Initial,450K,920,0.51,null,null,70,1,whole blood,LBC1936,Lothian Birth Cohort 1936,,European,whole blood
Initial,450K,920,0.6,null,null,70,1,whole blood,LBC1936,Lothian Birth Cohort,,Not reported,whole blood
Initial,450K,93,0,12,62,32,null,whole blood,,,,Hispanic or Latin American,whole blood
Initial,450K,93,0.51,25,84,53.4,23.5,whole blood,EGCUT2,,,European,whole blood
Initial,450K,93,0.6,36,88,68,null,saliva,PEG2,Parkinson’s Environment and Genes study,46 PD,Hispanic or Latin American,saliva
Initial,450K,934,0.47,null,null,69,9,CD14+ monocyte,MESA,Multi-Ethnic Study of Atherosclerosis,,African unspecified;European;Hispanic or Latin American,CD14+ monocyte
Initial,450K,94,0.37,null,null,43.4,11.7,whole blood,,,Current smokers,African American or Afro-Caribbean,whole blood
Initial,450K,94,0.39,null,null,13.5,2.3,saliva,,,CDV −,Not reported,saliva
Initial,450K,94,0.5,null,null,11.7,1.51,whole blood,DNBC,Danish National Birth Registry,Control offspring,Not reported,whole blood
Initial,450K,94,0.72,18,65,29,null,whole blood,,,,Not reported,whole blood
Initial,450K,947,0.51,0,0,0,0,whole blood,GOYA,,,European,whole blood
Initial,450K,949,0.5,67,77,70,null,whole blood,LBC1936,Lothian Birth Cohort 1936,,Not reported,whole blood
Initial,450K,95,0,null,null,50.4,7.5,whole blood,EPIC-Italy,European Prospective Investigation into Cancer and Nutrition,Current smokers,European,whole blood
Initial,450K,96,0.19,null,null,74.1,5.6,whole blood,,,Never smokers,African American or Afro-Caribbean,whole blood
Initial,450K,96,0.47,null,null,11.3,3.4,buccal epithelial cell,,NeuroDevNet FASD cohort,Controls,European;Other,buccal epithelial cell
Initial,450K,96,0.49,14.1,21,17.7,1.8,leukocyte,EpiGO,Epigenetic Basis of Obesity-Induced Cardiovascular Disease and Type 2 Diabetes,obese,African American or Afro-Caribbean,leukocyte
Initial,450K,96,0.5,null,null,52.4,23.7,leukocyte,EGCUT,Estonian Biobank ,,European,leukocyte
Initial,450K,96,0.51,null,null,49.8,7.4,whole blood,,,,African American or Afro-Caribbean;European,whole blood
Initial,450K,96,0.54,0,0,0,0,cord blood,MoBa,Norwegian Mother and Child Cohort Study,unexposed without attention-deficit/hyperactivity disorder,European,cord blood
Initial,450K,96,0.55,0,0,0,0,whole blood,NHBCS,,,European,whole blood
Initial,450K,96,0.69,0,0,0,0,cord blood,MoBa,Norwegian Mother and Child Cohort Study,unexposed with attention-deficit/hyperactivity disorder,European,cord blood
Initial,450K,96,null,null,null,28.3,5.5,cord blood,RICHS,,,European,cord blood
Initial,450K,96,null,null,null,28.3,5.5,cord blood ,RICHS,,,European,cord blood 
Initial,450K,962,0.47,null,null,50.5,11.3,whole blood,SAPALDIA,,time point 1,European,whole blood
Initial,450K,962,0.47,null,null,58.8,11.3,whole blood,SAPALDIA,,time point 2,European,whole blood
Initial,450K,962,null,0,0,0,0,cord blood,MoBa1,Norwegian Mother and Child Cohort Study,,Not reported,cord blood
Initial,450K,966,0.49,15,17,null,null,cord blood,ALSPAC,Avon Longitudinal Study of Parents and Children,,Not reported,cord blood
Initial,450K,966,0.49,15,17,null,null,whole blood,ALSPAC,Avon Longitudinal Study of Parents and Children,,Not reported,whole blood
Initial,450K,966,0.49,7,7,7,0,whole blood,ALSPAC,Avon Longitudinal Study of Parents and Children,,Not reported,whole blood
Initial,450K,968,0.48,null,null,17.1,1.1,whole blood,ARIES,,,Not reported,whole blood
Initial,450K,97,0.49,null,null,13.8,2.5,saliva,,,IPV −,Not reported,saliva
Initial,450K,97,0.8,null,null,59.4,11.5,whole blood,ACS-2,,,East Asian,whole blood
Initial,450K,970,0.48,null,null,47.8,16.3,CD4+ T cell,GOLDN,Genetics of Lipid Lowering Drugs and Diet Network,,European,CD4+ T cell
Initial,450K,974,0.49,null,null,15.5,null,whole blood,ARIES,,,Not reported,whole blood
Initial,450K,977,null,null,null,null,null,urological tumor tissue,,,,Not reported,urological tumor tissue
Initial,450K,98,0.449,46,63,50,null,whole blood,Lifelines,,Control individuals,European,whole blood
Initial,450K,99,0.48,0,0,0,0,whole blood,NEST,,,African American or Afro-Caribbean,whole blood
Initial,450K,99,0.5,null,null,65.4,7.1,whole blood,ESTHER,"Epidemiologische Studie zu Chancen der Verh€utung, Früherkennung und optimierten Therapie chronischer Erkrankungen in der älteren Bevölkerung",,European,whole blood
Initial,450K,99,0.55,0,0,0,0,cord blood,Piccolipiù,,,European,cord blood
Initial,450K,991,0.48,null,null,48.8,16,CD4+ T cell,GOLDN,Genetics of Lipid Lowering Drugs and Diet Network,,European,CD4+ T cell
Initial,450K,991,0.48,null,null,49,16,CD4+ T cell,GOLDN,Genetics of Lipid Lowering Drugs and Diet Network,,European,CD4+ T cell
Initial,450K,991,0.48,null,null,49,16,whole blood,GOLDN,,,European,whole blood
Initial,850K,11,0.55,0,0,0,0,cord blood,,,,Not reported,cord blood
Initial,850K,11,0.55,10,10,10,0,whole blood,,,,Not reported,whole blood
Initial,850K,11,0.55,5,5,5,0,whole blood,,,,Not reported,whole blood
Initial,850K,13,0,12,57,19,null,CD16+  neutrophil,,,healthy control,Not reported,CD16+  neutrophil
Initial,850K,13,0,12,57,19,null,CD19+ B cell,,,healthy control,Not reported,CD19+ B cell
Initial,850K,13,0,12,57,19,null,CD4+ T cell,,,healthy control,Not reported,CD4+ T cell
Initial,850K,13,0,12,57,19,null,CD8+ T cell,,,healthy control,Not reported,CD8+ T cell
Initial,850K,13,0,12,57,19,null,whole blood,,,healthy control,Not reported,whole blood
Initial,850K,157,0.38,50,70,null,null,buffy coat,,,,Not reported,buffy coat
Initial,850K,16,0.125,6,17,11.5,null,CD16+  neutrophil,,,paediatric-onset systemic lupus erythematosus patients,Not reported,CD16+  neutrophil
Initial,850K,16,0.125,6,17,11.5,null,CD19+ B cell,,,paediatric-onset systemic lupus erythematosus patients,Not reported,CD19+ B cell
Initial,850K,16,0.125,6,17,11.5,null,CD4+ T cell,,,paediatric-onset systemic lupus erythematosus patients,Not reported,CD4+ T cell
Initial,850K,16,0.125,6,17,11.5,null,CD8+ T cell,,,paediatric-onset systemic lupus erythematosus patients,Not reported,CD8+ T cell
Initial,850K,16,0.125,6,17,11.5,null,whole blood,,,paediatric-onset systemic lupus erythematosus patients,Not reported,whole blood
Initial,850K,16,0.56,0,0,0,0,cord blood,,,term brth,East Asian,cord blood
Initial,850K,16,0.56,0,0,0,0,placenta,,,term birth,East Asian,placenta
Initial,850K,164,0.59,10.6,15,12.6,null,whole blood,RISK,Risk Stratification and Identification of Immunogenetic and Microbial Markers of Rapid Disease Progression in Children with Crohn’s Disease cohort,crohn disease at diagnosis,Not reported,whole blood
Initial,850K,18,null,4,12,null,null,whole blood,,,case,Not reported,whole blood
Initial,850K,18,null,4,12,null,null,whole blood,,,control,Not reported,whole blood
Initial,850K,22,0.5,0,0,0,0,chorionic villi,,,aCA case,Not reported,chorionic villi
Initial,850K,22,0.59,0,0,0,0,chorionic villi,,,Non-aCA case,Not reported,chorionic villi
Initial,850K,3,null,60,74,69,null,blood,COPD,Chronic Obstructive Pulmonary Disease cohort,1 years after lung cancer detection,Not reported,blood
Initial,850K,3,null,60,74,69,null,blood,COPD,Chronic Obstructive Pulmonary Disease cohort,1 years before lung cancer detection,Not reported,blood
Initial,850K,3,null,60,74,69,null,blood,COPD,Chronic Obstructive Pulmonary Disease cohort,2 years before lung cancer detection,Not reported,blood
Initial,850K,3,null,null,null,null,null,whole blood,,,control,Not reported,whole blood
Initial,850K,3,null,null,null,null,null,whole blood,,,Werner syndrome,Not reported,whole blood
Initial,850K,30,0.33,18,58,25.6,7.7,buccal cell,,,after glucocorticoid exposure,Not reported,buccal cell
Initial,850K,30,0.33,18,58,25.6,7.7,buccal cell,,,before glucocorticoid exposure,Not reported,buccal cell
Initial,850K,302,0.46,null,null,44.3,3.7,whole blood,CARDIA,Coronary Artery Risk Development in Young Adults,,African American or Afro-Caribbean,whole blood
Initial,850K,32,0.59,0,0,0,0,cord blood,,,spontaneous preterm birth,East Asian,cord blood
Initial,850K,32,0.59,0,0,0,0,placenta,,,spontaneous preterm birth,East Asian,placenta
Initial,850K,36,0.56,null,null,19.8,0.9,whole blood,,,,East Asian,whole blood
Initial,850K,4,0.25,20,33,26,null,right lower lobe,,,controls,Not reported,right lower lobe
Initial,850K,4,0.25,20,33,26,null,right upper lobe,,,controls,Not reported,right upper lobe
Initial,850K,4,0.5,18,28,21,null,right lower lobe,,,CF subjects,Not reported,right lower lobe
Initial,850K,4,0.5,18,28,21,null,right upper lobe,,,CF subjects,Not reported,right upper lobe
Initial,850K,4,0.75,34,44,null,null,synovial fibroblast,BEACON,Birmingham early arthritis cohort,non-arthritic patients,Not reported,synovial fibroblast
Initial,850K,448,0.53,0,0,0,0,placenta,Gen3G,Gestation and Growth prospective cohort,,European,placenta
Initial,850K,45,0.25,null,null,42.3,12.1,peripheral blood mononuclear cell,,,MS-affected MZ co-twins,Not reported,peripheral blood mononuclear cell
Initial,850K,45,0.25,null,null,42.3,12.1,peripheral blood mononuclear cell,,,Non-affected MZ co-twins,Not reported,peripheral blood mononuclear cell
Initial,850K,455,0.515,null,null,45.9,3.3,whole blood,CARDIA,Coronary Artery Risk Development in Young Adults,,European,whole blood
Initial,850K,470,0.44,null,null,43.6,6.8,whole blood,ECRHS,,time point 1,European,whole blood
Initial,850K,470,0.44,null,null,54.5,6.8,whole blood,ECRHS,,time point 2,European,whole blood
Initial,850K,611,0.45,null,null,46.3,0.4,whole blood,NFBC1966,,time point 2,European,whole blood
Initial,850K,658,0.42,null,null,54.3,12.7,leukocyte,,,,European,leukocyte
Initial,850K,7,0.43,23,43,null,null,CD4+ T cell,,,6 months treatment,Not reported,CD4+ T cell
Initial,850K,7,0.43,23,43,null,null,CD4+ T cell,,,prior to the first dose of DMF,Not reported,CD4+ T cell
Initial,850K,74,0,null,null,32.4,6,saliva,,,mother,African American or Afro-Caribbean,saliva
Initial,850K,74,0.35,null,null,3.7,0.7,saliva,,,Child,African American or Afro-Caribbean,saliva
Initial,850K,78,1,null,null,25.9,null,CD14+ monocyte,,,European descent,European,CD14+ monocyte
Initial,850K,78,1,null,null,30.9,null,CD14+ monocyte,,,African descent,African unspecified,CD14+ monocyte
Initial,850K,8,0,35,62,43.5,null,urine,,,IC/BPS Cases,European;Not reported,urine
Replication,27K,10,0.6,73,78,75,null,subcutaneous adipose tissue,,,,Not reported,subcutaneous adipose tissue
Replication,27K,108,0,52,78,null,null,whole blood,UKOPS,United Kingdom Ovarian Cancer Population Study,Healthy women,Not reported,whole blood
Replication,27K,122,0,49,91,null,null,whole blood,UKOPS,United Kingdom Ovarian Cancer Population Study,Ovarian cancer after treatment,Not reported,whole blood
Replication,27K,124,0.59,null,null,55,3,peripheral blood,,,,Not reported,peripheral blood
Replication,27K,146,0.5,27,74,null,null,whole blood,,,Type-1 diabetics,Not reported,whole blood
Replication,27K,152,0,19,55,25,null,uterine cervix,,,,Not reported,uterine cervix
Replication,27K,154,0.37,7,82,42.5,16.3,tumor tissue,ENS@T,European Network for the Study of Adrenal Tumors,,European,tumor tissue
Replication,27K,16,1,1,60,25,null,occipital cortex,,,,Not reported,occipital cortex
Replication,27K,177,0,24,88,null,null,ovarian cancer cell,,,Women with ovarian cancer,Not reported,ovarian cancer cell
Replication,27K,188,0.49,24,74,null,null,whole blood,,,Type-1 diabetics,Not reported,whole blood
Replication,27K,191,0.49,24,74,43,null,whole blood,,,,Not reported,whole blood
Replication,27K,198,0.65,33,86,60,null,kidney,,,,Not reported,kidney
Replication,27K,20,1,1,60,22,null,cerebellar,,,,Not reported,cerebellar
Replication,27K,22,0.45,53,78,66,null,vastus lateralis muscle,,,,Not reported,vastus lateralis muscle
Replication,27K,24,0.25,16,69,35,null,CD4+ T cell,,,,Not reported,CD4+ T cell
Replication,27K,25,0.2,16,68,35.2,12.4,CD14+ monocyte,,,,Not reported,CD14+ monocyte
Replication,27K,25,0.2,16,68,35.2,12.4,CD4+ T cell,,,,Not reported,CD4+ T cell
Replication,27K,26,0.27,16,69,36.5,null,CD14+ monocyte,,,,Not reported,CD14+ monocyte
Replication,27K,262,0,49,91,67,null,whole blood,,,,Not reported,whole blood
Replication,27K,269,0,52,78,64,null,whole blood,,,,Not reported,whole blood
Replication,27K,27,0,35,88,51,null,breast,,,,Not reported,breast
Replication,27K,33,0.52,9,74,50.9,18.1,tumor tissue,ENS@T,European Network for the Study of Adrenal Tumors,,European,tumor tissue
Replication,27K,355,0.52,2,61,28,null,leukocyte,MRCA,,,African American or Afro-Caribbean;European,leukocyte
Replication,27K,386,1,3.6,18,9.3,null,peripheral blood mononuclear cell,,,,Not reported,peripheral blood mononuclear cell
Replication,27K,405,1,null,null,null,null,whole blood,,,control,Not reported,whole blood
Replication,27K,415,1,null,null,null,null,whole blood,,,ASD,Not reported,whole blood
Replication,27K,44,0.59,0,83,71,null,various tissues,,,,Not reported,various tissues
Replication,27K,44,1,25,25,25,0,vastus lateralis muscle,,,,Not reported,vastus lateralis muscle
Replication,27K,44,null,20,61,28,null,whole blood,,,MZ twins discordant for psychosis,Not reported,whole blood
Replication,27K,48,0,26,43,null,null,cervix,,,LBC samples,Not reported,cervix
Replication,27K,48,0.98,0,0,0,0,cord blood,,,,Not reported,cord blood
Replication,27K,507,0,49,91,null,null,whole blood,,,"262 healthy women, 120 ovarian cancer cases before treatment and 125 ovarian cancer cases after treatment",Not reported,whole blood
Replication,27K,52,0.08,21,55,27,null,saliva,,,,Not reported,saliva
Replication,27K,53,0.55,0,0,0,0,cord blood,,,,Not reported,cord blood
Replication,27K,6,1,55,71,60,null,heart,,,,Not reported,heart
Replication,27K,8,0,21,85,null,null,mesenchymal stem cell,,,Bone marrow from healthy donors,Not reported,mesenchymal stem cell
Replication,27K,84,0.48,0,0,0,0,cord blood,,,,Not reported,cord blood
Replication,27K,92,null,24,45,33,null,peripheral blood mononuclear cell,,,,Not reported,peripheral blood mononuclear cell
Replication,27K,93,0,49,74,63,null,whole blood,,,,Not reported,whole blood
Replication,27K,93,0,49,74,null,null,whole blood,,,,Not reported,whole blood
Replication,27K,95,0.57,null,null,55,3,peripheral blood,,,Heavy smoker: smoking >= 20 cigarettes per day at ages 30 and 40 and at enrollment,Not reported,peripheral blood
Replication,27K,97,0.63,null,null,55,3,peripheral blood,,,,Not reported,peripheral blood
Replication,450K,101,0.4,null,null,15.7,1.6,whole blood,Karelia,,,European,whole blood
Replication,450K,1011,0,null,null,64.6,7.1,whole blood,WHI-EMPC,,,European,whole blood
Replication,450K,103,0.54,0,0,0,0,cord blood,,,Normal pregnancy,East Asian,cord blood
Replication,450K,1052,0.41,null,null,39,19,peripheral blood mononuclear cell,,,,European,peripheral blood mononuclear cell
Replication,450K,1058,null,null,null,59.8,5.4,leukocyte,ARIC,Atherosclerosis Risk in Communities,,European,leukocyte
Replication,450K,108,0.51,null,null,74.7,13.3,whole blood,BASICMAR_ 2,,control,European,whole blood
Replication,450K,1092,0,null,null,64.7,7.1,blood,WHI-EMPC,Women’s Health Initiative - Epigenetic Mechanisms of PM-Mediated CVD,,European,blood
Replication,450K,111,null,null,null,47.2,4.9,whole blood,SYS adults,Saguenay Youth Study,,European,whole blood
Replication,450K,112,null,20,73,null,null,blood,,Danish Family Study,Danish Family Study,Not reported,blood
Replication,450K,115,0,null,null,null,null,whole blood,KORA F3,Kooperative Gesundheitsforschung in der Region Augsburg,Never smokers,Not reported,whole blood
Replication,450K,116,0,null,null,null,null,whole blood,KORA F3,Kooperative Gesundheitsforschung in der Region Augsburg,Current smokers,Not reported,whole blood
Replication,450K,117,1,null,null,null,null,whole blood,KORA F3,Kooperative Gesundheitsforschung in der Region Augsburg,Never smokers,Not reported,whole blood
Replication,450K,12,1,null,null,45.3,16.2,CD3+ T cell,,,Controls,Not reported,CD3+ T cell
Replication,450K,12,1,null,null,null,null,buccal epithelium,,,6 FASD children and 6 matched controls,European,buccal epithelium
Replication,450K,120,0.6,null,null,53.6,8.5,gastric mucosa,,,Controls,East Asian,gastric mucosa
Replication,450K,120,1,null,null,null,null,whole blood,KORA F3,Kooperative Gesundheitsforschung in der Region Augsburg,Current smokers,Not reported,whole blood
Replication,450K,126,0.52,null,null,8.7,0.3,whole blood,Robbic-Bologna,Rome and Bologna Birth Cohorts,,European,whole blood
Replication,450K,1261,0.4,null,null,64.8,9,buffy coat,FHS,Framingham Heart Study,,Not reported,buffy coat
Replication,450K,127,0.49,4,4,4,0,whole blood,INMA-GIP,Infancia y Medio Ambiente,,European,whole blood
Replication,450K,128,null,null,null,null,null,CD14+ monocyte,,,,Not reported,CD14+ monocyte
Replication,450K,13,0.46,6,null,5,8,nasal epithelial cell,,,,African unspecified;European;Other admixed ancestry,nasal epithelial cell
Replication,450K,13,0.69,null,null,52.2,5.6,gastric mucosa,,,self-comparison validation Unsuccessful eradication,East Asian,gastric mucosa
Replication,450K,13,0.69,null,null,52.2,5.6,leukocyte,,,self-comparison validation Unsuccessful eradication,East Asian,leukocyte
Replication,450K,13,1,null,null,50.9,9.1,CD3+ T cell,,,post-treatment alcohol dependent patients,Not reported,CD3+ T cell
Replication,450K,13,1,null,null,50.9,9.1,CD3+ T cell,,,pre-treatment alcohol dependent patients,Not reported,CD3+ T cell
Replication,450K,131,0.37,null,null,38,11.6,whole blood,,,Cases,European,whole blood
Replication,450K,131,0.6,null,null,73.4,10.2,whole blood,BASICMAR_1,,type 2 diabetes mellitus,European,whole blood
Replication,450K,131,0.85,null,null,70.2,8.7,carotid plaque,AEMS450K2,Athero-Express Biobank Study,Former or Never Smokers,Not reported,carotid plaque
Replication,450K,137,0,null,null,57.3,5.9,whole blood,,,,Not reported,whole blood
Replication,450K,14,0.21,null,null,37.2,12.5,whole blood,,,Case Group II,European;Not reported,whole blood
Replication,450K,142,0.51,null,null,62.6,7.2,whole blood,BLITZ,Evaluierung innovativer Testverfahren zur Darmkrebsfr€uherkennung,,European,whole blood
Replication,450K,149,0.52,21,null,18,30,leukocyte,PAPA,,,African American or Afro-Caribbean;European,leukocyte
Replication,450K,149,1,null,null,63.3,2.7,whole blood,HBCS,Helsinki Birth Cohort,,European,whole blood
Replication,450K,15,0.29,null,null,52.1,9.3,CD19+ B cell,,,Cases,Hispanic or Latin American,CD19+ B cell
Replication,450K,15,0.33,null,null,52.5,11.4,CD19+ B cell,,,Controls,Hispanic or Latin American,CD19+ B cell
Replication,450K,15,0.4,null,null,42.5,5,whole blood,KHTS,Korean Healthy Twin Study,AT siblings,Not reported,whole blood
Replication,450K,15,null,null,null,null,null,aorta,,,,Not reported,aorta
Replication,450K,159,0.73,16.1,84.8,59.5,null,tumor tissue,TCGA,The Cancer Genome Atlas,,Not reported,tumor tissue
Replication,450K,16,0.38,17,60,32,null,blood,,,,Not reported,blood
Replication,450K,160,0.5,5,79,29,null,leukocyte,SLSJ,,,African American or Afro-Caribbean;European,leukocyte
Replication,450K,1622,0.57,null,null,46.7,10.8,whole blood,Lifelines,,time point 1,European,whole blood
Replication,450K,166,0.64,null,null,43.9,12,whole blood,,,,African American or Afro-Caribbean;European,whole blood
Replication,450K,169,0.28,null,null,38,7.2,whole blood,,,Controls,European,whole blood
Replication,450K,17,null,null,null,null,null,cartilage,,,knee OA patients,Not reported,cartilage
Replication,450K,171,0,null,null,null,null,breast,,,,Not reported,breast
Replication,450K,172,0.78,null,null,70,17,whole blood,BAsicMAR,,Current Smokers,Not reported,whole blood
Replication,450K,173,0.36,null,null,26.2,7,whole blood,EGCUT Asthma,Estonian Genome Centre University of Tartu,,European,whole blood
Replication,450K,1789,0.49,null,null,60.9,8.9,whole blood,KORA F4,Cooperative Health Research in the Region of Augsburg,Second replication cohort,European,whole blood
Replication,450K,18,0,13,80,49,null,breast,NDRI,National Disease Research Interchange,ductal carcinoma,Not reported,breast
Replication,450K,18,0.389,null,null,88.5,5.2,prefrontal cortex,,,Braak III-IV,Not reported,prefrontal cortex
Replication,450K,18,0.78,8.4,12.8,11.7,null,leukocyte,PICTS,Paediatric-onset IBD Cohort and Treatment Study,patients,Not reported,leukocyte
Replication,450K,18,0.78,8.6,12.9,11.3,null,leukocyte,BISCUIT,Scottish Children Undergoing Investigation before Treatment study,controls,Not reported,leukocyte
Replication,450K,181,0.75,null,null,60.7,8.7,whole blood,LOLIPOP,The London Life Sciences Prospective Population Study,Incident T2D,European,whole blood
Replication,450K,187,0,null,null,50.5,4.8,whole blood,,National Institute of Environmental Health Sciences (NIEHS) Sister Study,,Not reported,whole blood
Replication,450K,187,0.07,null,null,48.8,14.9,whole blood,,,Controls,Not reported,whole blood
Replication,450K,19,null,null,null,null,null,carotid plaque,,,,Not reported,carotid plaque
Replication,450K,192,null,null,null,46.3,13.6,whole blood,Amish,The Amish Complex Disease Research Studies,family,European,whole blood
Replication,450K,196,0.54,null,null,57.6,8.9,whole blood,KORA,Kooperative Gesundheitsforschung in der Region Augsburg,controls,European,whole blood
Replication,450K,196,0.54,null,null,57.8,8.9,whole blood,KORA,Cooperative Health Research in the Region of Augsburg,Incident T2D,European,whole blood
Replication,450K,20,0.7,null,null,68.3,9.6,tumor tissue,,,Obese,Not reported,tumor tissue
Replication,450K,201,0.13,null,null,48.7,14.8,whole blood,,,Patients,Not reported,whole blood
Replication,450K,202,1,57,67,62,null,whole blood,ESTHER,,,European,whole blood
Replication,450K,205,0.28,null,null,79,9,whole blood,BAsicMAR,,Never Smokers,Not reported,whole blood
Replication,450K,207,0.56,null,null,16.4,0.2,nasal epithelial cell,PIAMA,Prevention and Incidence of Asthma and Mite Allergy,Atopy,European,nasal epithelial cell
Replication,450K,2096,null,null,null,null,null,whole blood,ARIC,Atherosclerosis Risk in Communities,,African American or Afro-Caribbean,whole blood
Replication,450K,2097,0.36,null,null,56.2,5.7,whole blood,ARIC,Atherosclerosis Risk in Communities Study,,African American or Afro-Caribbean,whole blood
Replication,450K,2097,null,47,70,null,null,leukocyte,ARIC,Atherosclerosis Risk in Communities,,African American or Afro-Caribbean,leukocyte
Replication,450K,213,0.53,null,null,10.9,0.8,whole blood,ECA,Environment and Childhood Asthma study in Oslo,,European,whole blood
Replication,450K,214,0.51,null,null,7.8,0.5,whole blood,Robbic-Rome,Rome and Bologna Birth Cohorts,,European,whole blood
Replication,450K,22,0.41,0,0,0,0,placenta,,,early-onset preeclampsia,African unspecified;Asian unspecified;European;Other,placenta
Replication,450K,221,0.38,null,null,65.1,10.2,peripheral blood mononuclear cell,,,Parkinson's disease,Not reported,peripheral blood mononuclear cell
Replication,450K,221,null,null,null,31.2,4.3,cord blood,BAMSE,,,European,cord blood
Replication,450K,221,null,null,null,31.2,4.3,cord blood ,BAMSE,,,European,cord blood 
Replication,450K,225,0.44,null,null,16.3,0.2,nasal epithelial cell,PIAMA,Prevention and Incidence of Asthma and Mite Allergy,No atopy,European,nasal epithelial cell
Replication,450K,2297,0.37,null,null,56.1,5.7,whole blood,ARIC,,,African unspecified,whole blood
Replication,450K,230,1,18,18,18,0,leukocyte,ALSPAC,Avon Longitudinal Study of Parents and Children,,Not reported,leukocyte
Replication,450K,2316,null,0,103,54,null,whole blood,MARMAL‐AID,,,Not reported,whole blood
Replication,450K,232,0.5,34,83,53.2,null,whole blood,KORA F3,Kooperative Gesundheitsforschung in der Region Augsburg,Never smokers,Not reported,whole blood
Replication,450K,236,0.51,35,80,52.8,null,whole blood,KORA F3,Kooperative Gesundheitsforschung in der Region Augsburg,Current smokers,Not reported,whole blood
Replication,450K,236,null,null,null,60.6,9.2,monocyte,MESA,Multi-Ethnic Study of Atherosclerosis,,African American or Afro-Caribbean,monocyte
Replication,450K,2377,0.44,null,null,67,null,whole blood,FHS Offspring,Framingham Heart Study Offspring Cohort,,European,whole blood
Replication,450K,238,0,null,null,51.7,11.7,whole blood,,,,Not reported,whole blood
Replication,450K,239,0.28,null,null,41,13,leukocyte,GTP,Grady Trauma Project,,African American or Afro-Caribbean,leukocyte
Replication,450K,24,null,null,null,null,null,whole blood,AWHS,Aragon Workers’ Health Study,,Not reported,whole blood
Replication,450K,247,0.76,null,null,35,null,whole blood,,,Cases,European,whole blood
